,kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_impact,koi_prad,koi_teq,koi_insol,koi_model_snr
0,K00752.01,CONFIRMED,9.48803557,2.9575,615.8,0.146,2.26,793.0,93.59,35.8
1,K00752.02,CONFIRMED,54.4183827,4.507,874.8,0.586,2.83,443.0,9.11,25.8
2,K00754.01,FALSE POSITIVE,1.736952453,2.40641,8079.2,1.276,33.46,1395.0,891.96,505.6
3,K00755.01,CONFIRMED,2.525591777,1.6545,603.3,0.701,2.75,1406.0,926.16,40.9
4,K00756.01,CONFIRMED,11.09432054,4.5945,1517.5,0.538,3.9,835.0,114.81,66.5
5,K00756.02,CONFIRMED,4.13443512,3.1402,686.0,0.762,2.77,1160.0,427.65,40.2
6,K00756.03,CONFIRMED,2.56658897,2.429,226.5,0.755,1.59,1360.0,807.74,15.0
7,K00114.01,FALSE POSITIVE,7.36178958,5.022,233.7,1.169,39.21,1342.0,767.22,47.7
8,K00757.01,CONFIRMED,16.06864674,3.5347,4914.3,0.052,5.76,600.0,30.75,161.9
9,K00001.01,CONFIRMED,2.470613377,1.74319,14230.9,0.818,13.04,1339.0,761.46,4304.3
10,K00002.01,CONFIRMED,2.204735417,3.88864,6674.7,0.224,16.1,2048.0,4148.92,5945.9
11,K00010.01,CONFIRMED,3.522498429,3.19843,9145.7,0.631,14.59,1521.0,1264.67,1741.5
12,K00112.02,CONFIRMED,3.709214104,2.6302,131.1,0.051,1.16,1206.0,500.46,50.6
13,K00742.01,FALSE POSITIVE,11.521446064,3.6399,17984.3,2.483,150.51,753.0,75.88,622.1
14,K00743.01,FALSE POSITIVE,19.40393776,12.2155,8918.7,0.804,7.18,523.0,17.69,214.7
15,K00744.01,FALSE POSITIVE,19.221388942,4.79843,74284.0,1.065,49.29,698.0,55.97,2317.0
16,K00745.01,FALSE POSITIVE,16.46983774,9.4378,10478.9,0.292,7.94,595.0,29.61,303.4
17,K00746.01,CONFIRMED,9.27358173,3.2875,1288.3,0.387,2.47,649.0,41.85,87.2
18,K00747.01,CONFIRMED,6.02930329,1.5821,1912.7,0.258,2.85,678.0,50.04,65.4
19,K00748.01,FALSE POSITIVE,2.696370652,3.6129,397.9,0.044,1.58,1066.0,305.34,48.2
20,K00749.01,CONFIRMED,5.349553819,3.0278,831.0,0.092,2.55,919.0,168.99,60.6
21,K00749.02,CONFIRMED,3.94105221,2.5984,363.3,0.226,1.7,1018.0,253.15,28.9
22,K00749.03,CONFIRMED,8.10904807,3.596,217.4,0.025,1.3,800.0,97.03,14.1
23,K00113.01,FALSE POSITIVE,386.6030528,6.8057,24926.6,0.9765,41.5,297.0,1.84,994.0
24,K00750.01,CONFIRMED,21.67699193,3.4555,857.2,0.896,2.95,530.0,18.64,34.3
25,K00751.01,CONFIRMED,4.99677968,2.1717,934.7,0.71,2.78,917.0,166.95,28.2
26,K00769.01,CONFIRMED,4.280963604,2.875,750.8,0.424,2.3,1012.0,247.87,61.8
27,K00770.01,FALSE POSITIVE,1.50635409,1.5155,2211.7,0.86,4.53,1452.0,1054.12,181.1
28,K00771.01,FALSE POSITIVE,670.645531,53.412,18090.6,0.701,14.14,196.0,0.35,642.7
29,K00772.01,FALSE POSITIVE,61.2563628,7.633,5123.3,1.248,39.87,505.0,15.43,85.3
30,K00773.01,CONFIRMED,38.3775486,5.588,724.2,0.468,2.82,529.0,18.53,34.7
