koi_period,koi_duration,koi_depth,koi_impact,koi_prad,koi_teq,koi_insol,koi_model_snr
389.169027,3.759,513.3,0.2117,15.36,519.0,17.15,7.7
8.48651582,5.267,110.8,0.009,1.34,1060.0,298.03,21.1
2.340523247,3.156,175.4,0.725,1.4,1456.0,1063.8,37.2
20.0545282,7.173,305.4,0.939,2.63,755.0,76.97,26.9
1.45728997,3.582,71.3,0.749,0.93,1665.0,1818.19,15.5
14.32407216,4.6577,2053.9,1.292,38.86,782.0,88.38,58.0
118.314913,4.79,216.3,0.522,7.23,786.0,90.09,7.0
34.064566412,9.6114,28450.4,0.524,15.57,570.0,25.0,1305.9
124.5245224,9.654,689.9,0.004,2.69,356.0,3.78,47.5
0.7967202,4.25304,167719.0,0.839,56.89,1964.0,3497.4,716.6
77.2550726,10.214,589.5,0.837,3.7,548.0,21.37,44.0
0.890745373,1.9215,120034.0,0.599,36.92,1892.0,3015.62,239.6
0.550509602,1.1836,123.5,0.386,5.02,3938.0,56796.99,24.0
7.953547,2.6312,875.4,0.3,2.25,696.0,55.37,38.4
10.94577783,3.0937,532.8,0.819,2.84,881.0,142.23,52.5
4.27121961,2.9283,966.7,0.636,2.17,802.0,97.84,38.0
4.311780262,2.7251,1154.0,0.196,3.11,1038.0,274.84,86.1
6.30558387,2.619,193.1,0.601,2.52,1125.0,378.9,9.5
116.583183,5.8,819.0,0.586,2.91,371.0,4.47,8.7
4.92031063,4.046,81.0,0.242,1.18,1242.0,562.99,17.7
2.75505467,3.426,85.5,0.738,1.74,1783.0,2387.41,27.8
0.604755462,1.3741,334.5,0.039,1.29,1598.0,1534.24,40.3
17.79421914,4.1918,1549.4,1.242,25.27,606.0,31.94,111.5
531.33282,3.702,669.0,0.3099,2.67,239.0,0.77,7.1
0.566789505,5.835,54.6,1.03,3.37,2038.0,4051.92,12.6
21.96401646,2.7509,693.4,0.483,2.57,643.0,40.41,26.9
9.08937826,6.255,779.8,0.982,5.35,1104.0,351.45,72.7
33.159475806,9.01353,222167.0,0.768,146.47,1068.0,307.53,3733.6
136.205112,5.568,1209.3,0.49,2.35,248.0,0.89,20.0
1.33259494,2.783,92.7,0.104,0.89,1665.0,1814.46,7.8
10.35533116,3.1775,750.6,0.029,2.47,777.0,86.22,49.2
4.804469712,3.51946,132624.0,0.567,30.97,958.0,198.67,1177.8
8.48299282,2.505,69.1,0.564,0.8,879.0,141.04,21.3
5.9703813,0.669,210.3,0.8826,1.69,981.0,218.94,5.5
359.534371,24.205,5732.0,100.806,64333.8,491.0,13.7,96.0
3.04463691,6.656,47.0,0.322,0.68,1321.0,721.48,10.4
25.4805211,10.701,159.0,0.186,1.25,659.0,44.67,17.7
1.096587245,3.0287,541.2,2.623,168.68,1726.0,2096.5,67.1
2.576571021,1.5997,852.8,0.187,1.57,717.0,62.42,63.6
0.566799395,1.5368,231.2,0.042,1.65,2448.0,8550.93,33.7
119.72007,9.48,115.6,0.025,1.26,410.0,6.67,9.0
73.992267,5.692,225.6,0.446,2.86,546.0,20.98,7.9
2.39161966,1.906,189.2,0.299,0.93,1031.0,266.01,13.6
412.041857,5.572,1959.0,0.1068,3.77,217.0,0.52,12.3
115.9943364,2.4136,37571.0,0.028,13.66,265.0,1.16,102.4
1.032967155,1.17,127.3,0.025,21.22,5990.0,304226.71,8.3
1.27620899,2.169,186.2,0.276,1.46,1851.0,2769.8,11.4
3.012476415,3.31903,198402.0,0.708,58.77,1388.0,879.89,2060.3
24.99324319,5.9409,269.6,0.686,2.29,712.0,60.88,62.0
22.687155,5.4921,960.0,0.023,3.2,653.0,42.95,122.8
21.37831102,21.7174,80571.0,0.257,97.23,1062.0,300.32,852.2
6.80243431,3.817,249.1,1.0,2.6,895.0,151.72,14.9
2.861159894,1.8832,1014.3,0.965,4.37,1355.0,797.1,58.3
42.559265547,3.36626,207990.0,0.775,51.86,487.0,13.28,950.0
3.87594316,2.314,58.6,0.025,0.68,1081.0,323.21,14.2
10.9938087,5.0403,1456.9,0.924,5.33,978.0,216.57,100.4
219.3215562,12.4124,3628.7,0.244,6.11,313.0,2.27,93.8
2.935362067,1.5043,1052.6,0.86,3.15,1022.0,258.48,38.0
8.20396958,2.9667,1024.4,0.823,3.01,742.0,71.5,54.4
16.9348104,3.408,346.3,0.471,1.31,508.0,15.77,11.5
0.867721348,4.8783,97653.0,0.987,67.0,2089.0,4487.7,587.9
7.650243513,2.752,981.4,0.014,2.3,772.0,83.86,98.8
362.49906,12.17,522.5,0.5297,2.51,277.0,1.4,10.3
26.6951944,4.576,132.6,0.136,1.4,706.0,58.81,13.4
2.6228301,7.29719,409714.0,0.488,70.62,1403.0,917.98,5312.7
326.70552,3.36,794.0,0.0826,2.83,287.0,1.61,9.1
0.605556082,1.2399,101.7,0.176,0.86,2120.0,4796.94,15.3
55.673582,3.778,765.1,0.274,2.19,384.0,5.16,22.7
40.8777605,9.745,719.1,1.262,29.55,526.0,18.15,23.6
14.15402615,4.115,21653.0,1.199,29.61,495.0,14.25,23.9
14.0801852,3.402,90.7,0.308,1.04,798.0,95.62,6.9
0.661749944,4.112,215.6,1.169,23.92,2420.0,8123.02,34.5
1.374249107,5.3181,136655.0,0.771,96.85,2725.0,13078.76,520.3
6.69958851,2.831,253.7,0.0,1.24,806.0,99.83,13.6
59.742966,6.78,284.9,0.9694,16.91,1037.0,273.48,8.6
31.1588249,5.1803,959.0,0.029,3.56,639.0,39.46,73.6
6.91134223,5.6743,201.7,0.259,1.9,1086.0,328.65,44.0
1.47623061,2.032,39.1,0.375,0.71,1802.0,2484.49,9.7
32.77897303,19.1378,410080.0,0.496,69.08,588.0,28.29,2126.1
15.0219784,5.068,96.9,0.96,1.77,874.0,137.91,7.4
0.890737359,1.9257,195.8,1.146,20.57,2022.0,3948.43,37.7
3.732261,2.054,153.6,0.4,1.09,1119.0,369.47,15.7
4.60690612,4.176,137.5,0.203,0.9,950.0,192.38,13.3
371.54879,9.841,125.6,0.6743,1.13,230.0,0.66,10.1
0.93376089,3.027,27.3,0.035,0.57,2064.0,4286.78,9.7
